team_home,team_away,goals_home,goals_away,league_division,season,group
FC HIK,LoPa/2,13,0,5,25,1
HooGee/23,Hukat,7,0,5,25,1
FC Samba,HooGee/23,1,4,5,25,1
PEF,KaPy,3,0,5,25,1
LoPa/2,Hukat,2,3,5,25,1
KaPy,FC HIK,1,7,5,25,1
FC Samba,Hukat,0,1,5,25,1
Olarin Kiksi,LoPa/2,3,0,5,25,1
HooGee/23,PEF,5,2,5,25,1
LePa/Cityboys,KY United,0,4,5,25,2
FC Honka/Leopardit,PPV,4,4,5,25,2
PiTa,RiRa,4,4,5,25,2
HDS/Express,EsPa/Keltavihree,3,3,5,25,2
Kilo IF,GrIFK/2,1,0,5,25,2
EsPa/Keltavihree,PiTa,1,1,5,25,2
KY United,FC Honka/Leopardit,5,3,5,25,2
RiRa,LePa/Cityboys,4,3,5,25,2
PPV,Kilo IF,3,2,5,25,2
GrIFK/2,HDS/Express,8,0,5,25,2
EsPa/Keltavihree,KY United,0,3,5,25,2
FC Honka/Leopardit,RiRa,5,5,5,25,2
PPV,GrIFK/2,0,3,5,25,2
HDS/Express,LePa/Cityboys,4,6,5,25,2
Kilo IF,PiTa,4,2,5,25,2
KY United,PPV,8,1,5,25,2
RiRa,HDS/Express,3,2,5,25,2
LePa/Cityboys,Kilo IF,0,7,5,25,2
PiTa,FC Honka/Leopardit,3,4,5,25,2
GrIFK/2,EsPa/Keltavihree,0,0,5,25,2
FC Honka/Leopardit,EsPa/Keltavihree,1,1,5,25,2
LePa/Cityboys,GrIFK/2,1,2,5,25,2
PPV,PiTa,4,2,5,25,2
HDS/Express,KY United,0,8,5,25,2
Kilo IF,RiRa,3,1,5,25,2
KY United,GrIFK/2,5,2,5,25,2
RiRa,PPV,3,5,5,25,2
FC Honka/Leopardit,HDS/Express,6,3,5,25,2
PiTa,LePa/Cityboys,1,0,5,25,2
EsPa/Keltavihree,Kilo IF,4,1,5,25,2
LePa/Cityboys,FC Honka/Leopardit,3,4,5,25,2
PPV,EsPa/Keltavihree,0,3,5,25,2
HDS/Express,PiTa,1,6,5,25,2
Kilo IF,KY United,0,2,5,25,2
GrIFK/2,RiRa,2,2,5,25,2
EsPa/Keltavihree,LePa/Cityboys,8,1,5,25,2
KY United,RiRa,3,1,5,25,2
PPV,HDS/Express,7,0,5,25,2
Kilo IF,FC Honka/Leopardit,6,1,5,25,2
GrIFK/2,PiTa,3,3,5,25,2
RiRa,EsPa/Keltavihree,0,5,5,25,2
PiTa,KY United,2,5,5,25,2
HDS/Express,Kilo IF,2,3,5,25,2
LePa/Cityboys,PPV,2,4,5,25,2
FC Honka/Leopardit,GrIFK/2,3,1,5,25,2
EsPa/Keltavihree,HDS/Express,10,1,5,25,2
KY United,LePa/Cityboys,5,1,5,25,2
PPV,FC Honka/Leopardit,3,4,5,25,2
RiRa,PiTa,0,3,5,25,2
GrIFK/2,Kilo IF,2,3,5,25,2
FC Honka/Leopardit,KY United,1,1,5,25,2
LePa/Cityboys,RiRa,1,6,5,25,2
PiTa,EsPa/Keltavihree,0,6,5,25,2
Kilo IF,PPV,2,1,5,25,2
HDS/Express,GrIFK/2,4,4,5,25,2
KY United,EsPa/Keltavihree,0,5,5,25,2
RiRa,FC Honka/Leopardit,2,3,5,25,2
PiTa,Kilo IF,1,2,5,25,2
LePa/Cityboys,HDS/Express,2,0,5,25,2
GrIFK/2,PPV,1,4,5,25,2
EsPa/Keltavihree,GrIFK/2,14,1,5,25,2
PPV,KY United,1,5,5,25,2
Kilo IF,LePa/Cityboys,3,1,5,25,2
FC Honka/Leopardit,PiTa,0,1,5,25,2
HDS/Express,RiRa,2,6,5,25,2
EsPa/Keltavihree,FC Honka/Leopardit,3,1,5,25,2
KY United,HDS/Express,7,3,5,25,2
PiTa,PPV,2,1,5,25,2
RiRa,Kilo IF,2,2,5,25,2
GrIFK/2,LePa/Cityboys,5,1,5,25,2
LePa/Cityboys,PiTa,1,5,5,25,2
HDS/Express,FC Honka/Leopardit,2,2,5,25,2
Kilo IF,EsPa/Keltavihree,2,10,5,25,2
PPV,RiRa,4,0,5,25,2
GrIFK/2,KY United,0,12,5,25,2
KY United,Kilo IF,3,0,5,25,2
FC Honka/Leopardit,LePa/Cityboys,7,2,5,25,2
EsPa/Keltavihree,PPV,3,4,5,25,2
RiRa,GrIFK/2,6,1,5,25,2
PiTa,HDS/Express,6,0,5,25,2
FC Honka/Leopardit,Kilo IF,7,0,5,25,2
LePa/Cityboys,EsPa/Keltavihree,1,6,5,25,2
PiTa,GrIFK/2,7,1,5,25,2
HDS/Express,PPV,1,3,5,25,2
KY United,PiTa,3,0,5,25,2
GrIFK/2,FC Honka/Leopardit,2,4,5,25,2
PPV,LePa/Cityboys,2,1,5,25,2
EsPa/Keltavihree,RiRa,4,1,5,25,2
Kilo IF,HDS/Express,2,3,5,25,2
RiRa,KY United,0,4,5,25,2
FC Pehmeet ja Märät,HIFK/2,4,1,5,25,3
FC POHU/Simpsons,PETO,1,5,5,25,3
ToTe/Keparoi,Tavastia,0,2,5,25,3
FC POHU/United,Vesa/Töölö,8,1,5,25,3
PPJ/LeJa,FC ST4Y,1,11,5,25,3
Tavastia,FC POHU/United,1,3,5,25,3
FC ST4Y,FC POHU/Simpsons,4,0,5,25,3
PETO,FC Pehmeet ja Märät,1,6,5,25,3
HIFK/2,ToTe/Keparoi,2,0,5,25,3
Vesa/Töölö,PPJ/LeJa,10,1,5,25,3
ToTe/Keparoi,PETO,2,1,5,25,3
FC ST4Y,HIFK/2,3,2,5,25,3
FC POHU/United,FC POHU/Simpsons,6,1,5,25,3
Tavastia,Vesa/Töölö,1,0,5,25,3
PPJ/LeJa,FC Pehmeet ja Märät,1,9,5,25,3
FC Pehmeet ja Märät,FC POHU/United,0,3,5,25,3
FC POHU/Simpsons,ToTe/Keparoi,1,1,5,25,3
HIFK/2,Tavastia,0,4,5,25,3
PETO,PPJ/LeJa,10,1,5,25,3
Vesa/Töölö,FC ST4Y,2,5,5,25,3
FC Pehmeet ja Märät,Vesa/Töölö,0,0,5,25,3
Tavastia,FC POHU/Simpsons,2,1,5,25,3
ToTe/Keparoi,FC ST4Y,0,14,5,25,3
FC POHU/United,PETO,2,0,5,25,3
PPJ/LeJa,HIFK/2,0,3,5,25,3
FC POHU/Simpsons,FC Pehmeet ja Märät,2,2,5,25,3
FC ST4Y,FC POHU/United,3,1,5,25,3
ToTe/Keparoi,PPJ/LeJa,3,0,5,25,3
PETO,Tavastia,2,2,5,25,3
HIFK/2,Vesa/Töölö,2,0,5,25,3
FC Pehmeet ja Märät,ToTe/Keparoi,2,1,5,25,3
Tavastia,FC ST4Y,0,4,5,25,3
FC POHU/United,HIFK/2,7,2,5,25,3
Vesa/Töölö,PETO,1,1,5,25,3
PPJ/LeJa,FC POHU/Simpsons,1,1,5,25,3
Tavastia,PPJ/LeJa,4,0,5,25,3
HIFK/2,PETO,2,2,5,25,3
FC ST4Y,FC Pehmeet ja Märät,4,2,5,25,3
Vesa/Töölö,FC POHU/Simpsons,2,1,5,25,3
FC POHU/United,ToTe/Keparoi,11,1,5,25,3
PETO,FC ST4Y,3,3,5,25,3
FC POHU/Simpsons,HIFK/2,2,1,5,25,3
PPJ/LeJa,FC POHU/United,0,2,5,25,3
ToTe/Keparoi,Vesa/Töölö,1,3,5,25,3
Tavastia,ToTe/Keparoi,4,0,5,25,3
FC ST4Y,PPJ/LeJa,11,4,5,25,3
HIFK/2,FC Pehmeet ja Märät,4,0,5,25,3
PETO,FC POHU/Simpsons,5,0,5,25,3
Vesa/Töölö,FC POHU/United,1,1,5,25,3
FC ST4Y,PETO,1,1,5,25,3
Vesa/Töölö,ToTe/Keparoi,4,1,5,25,3
Tavastia,FC Pehmeet ja Märät,2,0,5,25,3
HIFK/2,FC POHU/Simpsons,8,0,5,25,3
FC POHU/United,Tavastia,1,2,5,25,3
FC POHU/Simpsons,FC ST4Y,2,14,5,25,3
ToTe/Keparoi,HIFK/2,2,1,5,25,3
FC Pehmeet ja Märät,PETO,0,2,5,25,3
PPJ/LeJa,Vesa/Töölö,1,4,5,25,3
FC POHU/Simpsons,FC POHU/United,0,6,5,25,3
Vesa/Töölö,Tavastia,2,6,5,25,3
FC Pehmeet ja Märät,PPJ/LeJa,3,1,5,25,3
PETO,ToTe/Keparoi,3,0,5,25,3
HIFK/2,FC ST4Y,0,4,5,25,3
FC POHU/United,FC Pehmeet ja Märät,4,4,5,25,3
ToTe/Keparoi,FC POHU/Simpsons,2,2,5,25,3
FC ST4Y,Vesa/Töölö,3,1,5,25,3
PPJ/LeJa,PETO,1,4,5,25,3
Tavastia,HIFK/2,8,1,5,25,3
FC ST4Y,ToTe/Keparoi,4,0,5,25,3
FC POHU/Simpsons,Tavastia,2,4,5,25,3
Vesa/Töölö,FC Pehmeet ja Märät,1,4,5,25,3
PETO,FC POHU/United,1,2,5,25,3
HIFK/2,PPJ/LeJa,7,1,5,25,3
FC POHU/United,FC ST4Y,3,3,5,25,3
PPJ/LeJa,ToTe/Keparoi,1,2,5,25,3
Vesa/Töölö,HIFK/2,3,1,5,25,3
Tavastia,PETO,1,3,5,25,3
FC Pehmeet ja Märät,FC POHU/Simpsons,3,0,5,25,3
ToTe/Keparoi,FC Pehmeet ja Märät,0,3,5,25,3
HIFK/2,FC POHU/United,1,5,5,25,3
PETO,Vesa/Töölö,7,0,5,25,3
FC POHU/Simpsons,PPJ/LeJa,1,0,5,25,3
FC ST4Y,Tavastia,3,1,5,25,3
PPJ/LeJa,Tavastia,0,3,5,25,3
FC Pehmeet ja Märät,FC ST4Y,1,4,5,25,3
ToTe/Keparoi,FC POHU/United,1,6,5,25,3
FC POHU/Simpsons,Vesa/Töölö,3,4,5,25,3
PETO,HIFK/2,4,1,5,25,3
FC POHU/United,PPJ/LeJa,3,2,5,25,3
LPS/Kuninkaat,Ponnistus/2,5,3,5,25,4
SAPA/2,HePu,0,5,5,25,4
FC Germania,ToTe/U23,1,3,5,25,4
KäPa/NoLe,HJK/Lsalo,2,0,5,25,4
StaPa De Royale,FC POHU/Gettopojat,7,0,5,25,4
HJK/Lsalo,SAPA/2,5,2,5,25,4
ToTe/U23,StaPa De Royale,0,6,5,25,4
HePu,KäPa/NoLe,2,4,5,25,4
FC POHU/Gettopojat,SAPA/2,2,0,5,25,4
HJK/Lsalo,LPS/Kuninkaat,4,2,5,25,4
Ponnistus/2,FC Germania,2,3,5,25,4
ToTe/U23,HePu,7,0,5,25,4
KäPa/NoLe,FC POHU/Gettopojat,0,1,5,25,4
HJK/Lsalo,Ponnistus/2,3,4,5,25,4
FC Germania,SAPA/2,4,1,5,25,4
LPS/Kuninkaat,StaPa De Royale,1,4,5,25,4
StaPa De Royale,KäPa/NoLe,8,1,5,25,4
HePu,HJK/Lsalo,2,3,5,25,4
Ponnistus/2,ToTe/U23,4,1,5,25,4
FC POHU/Gettopojat,FC Germania,0,3,5,25,4
SAPA/2,LPS/Kuninkaat,3,2,5,25,4
HJK/Lsalo,StaPa De Royale,3,4,5,25,4
FC Germania,HePu,3,1,5,25,4
KäPa/NoLe,ToTe/U23,1,1,5,25,4
SAPA/2,Ponnistus/2,2,6,5,25,4
LPS/Kuninkaat,FC POHU/Gettopojat,3,0,5,25,4
StaPa De Royale,SAPA/2,9,0,5,25,4
HePu,Ponnistus/2,1,5,5,25,4
KäPa/NoLe,FC Germania,0,5,5,25,4
FC POHU/Gettopojat,HJK/Lsalo,3,2,5,25,4
ToTe/U23,LPS/Kuninkaat,2,3,5,25,4
FC Germania,StaPa De Royale,0,3,5,25,4
SAPA/2,KäPa/NoLe,1,3,5,25,4
HJK/Lsalo,ToTe/U23,2,1,5,25,4
LPS/Kuninkaat,HePu,2,4,5,25,4
Ponnistus/2,FC POHU/Gettopojat,5,3,5,25,4
HJK/Lsalo,FC Germania,2,1,5,25,4
Ponnistus/2,StaPa De Royale,1,1,5,25,4
LPS/Kuninkaat,KäPa/NoLe,3,0,5,25,4
HePu,FC POHU/Gettopojat,1,0,5,25,4
ToTe/U23,SAPA/2,3,3,5,25,4
FC Germania,LPS/Kuninkaat,2,3,5,25,4
StaPa De Royale,HePu,7,0,5,25,4
FC POHU/Gettopojat,ToTe/U23,3,3,5,25,4
KäPa/NoLe,Ponnistus/2,0,2,5,25,4
SAPA/2,HJK/Lsalo,3,1,5,25,4
HePu,SAPA/2,1,1,5,25,4
FC POHU/Gettopojat,StaPa De Royale,2,7,5,25,4
ToTe/U23,FC Germania,2,5,5,25,4
HJK/Lsalo,KäPa/NoLe,3,2,5,25,4
Ponnistus/2,LPS/Kuninkaat,4,1,5,25,4
LPS/Kuninkaat,HJK/Lsalo,2,1,5,25,4
FC Germania,Ponnistus/2,2,2,5,25,4
SAPA/2,FC POHU/Gettopojat,1,5,5,25,4
StaPa De Royale,ToTe/U23,4,0,5,25,4
KäPa/NoLe,HePu,3,3,5,25,4
Ponnistus/2,KäPa/NoLe,3,4,5,25,4
SAPA/2,FC Germania,0,11,5,25,4
Ponnistus/2,HJK/Lsalo,12,1,5,25,4
StaPa De Royale,LPS/Kuninkaat,4,2,5,25,4
FC POHU/Gettopojat,KäPa/NoLe,2,2,5,25,4
HePu,ToTe/U23,4,2,5,25,4
FC Germania,FC POHU/Gettopojat,6,0,5,25,4
ToTe/U23,Ponnistus/2,0,4,5,25,4
KäPa/NoLe,StaPa De Royale,0,4,5,25,4
HJK/Lsalo,HePu,3,4,5,25,4
LPS/Kuninkaat,SAPA/2,5,2,5,25,4
HePu,StaPa De Royale,1,12,5,25,4
StaPa De Royale,HJK/Lsalo,0,0,5,25,4
Ponnistus/2,SAPA/2,6,0,5,25,4
ToTe/U23,KäPa/NoLe,1,1,5,25,4
HePu,FC Germania,0,8,5,25,4
FC POHU/Gettopojat,LPS/Kuninkaat,1,3,5,25,4
Ponnistus/2,HePu,5,1,5,25,4
SAPA/2,StaPa De Royale,0,7,5,25,4
LPS/Kuninkaat,ToTe/U23,4,0,5,25,4
HJK/Lsalo,FC POHU/Gettopojat,3,1,5,25,4
FC Germania,KäPa/NoLe,5,3,5,25,4
StaPa De Royale,FC Germania,6,1,5,25,4
KäPa/NoLe,SAPA/2,4,1,5,25,4
ToTe/U23,HJK/Lsalo,3,2,5,25,4
FC POHU/Gettopojat,Ponnistus/2,1,3,5,25,4
HePu,LPS/Kuninkaat,1,3,5,25,4
SAPA/2,ToTe/U23,0,5,5,25,4
FC Germania,HJK/Lsalo,1,1,5,25,4
KäPa/NoLe,LPS/Kuninkaat,1,5,5,25,4
StaPa De Royale,Ponnistus/2,1,1,5,25,4
FC POHU/Gettopojat,HePu,0,2,5,25,4
ToTe/U23,FC POHU/Gettopojat,2,2,5,25,4
LPS/Kuninkaat,FC Germania,1,3,5,25,4
MPS/AtleticoAkatemia,PK-35/2,5,2,5,25,5
FC KaKe,IF Gnistan/3,3,4,5,25,5
KPPK,HerTo,2,0,5,25,5
LPS/reservi,FC Kontu/KoVa,8,4,5,25,5
FC POHU,Kasiysi/2,12,3,5,25,5
HerTo,FC POHU,1,13,5,25,5
Kasiysi/2,FC KaKe,2,1,5,25,5
FC Kontu/KoVa,MPS/AtleticoAkatemia,1,1,5,25,5
IF Gnistan/3,LPS/reservi,1,2,5,25,5
PK-35/2,KPPK,7,4,5,25,5
MPS/AtleticoAkatemia,IF Gnistan/3,2,4,5,25,5
FC POHU,LPS/reservi,3,2,5,25,5
Kasiysi/2,FC Kontu/KoVa,0,11,5,25,5
KPPK,FC KaKe,0,2,5,25,5
PK-35/2,HerTo,1,8,5,25,5
HerTo,Kasiysi/2,0,0,5,25,5
IF Gnistan/3,FC POHU,2,6,5,25,5
LPS/reservi,KPPK,10,0,5,25,5
FC Kontu/KoVa,PK-35/2,4,0,5,25,5
FC KaKe,MPS/AtleticoAkatemia,3,1,5,25,5
MPS/AtleticoAkatemia,Kasiysi/2,4,0,5,25,5
FC POHU,FC Kontu/KoVa,3,7,5,25,5
LPS/reservi,HerTo,4,0,5,25,5
KPPK,IF Gnistan/3,0,7,5,25,5
PK-35/2,FC KaKe,3,2,5,25,5
MPS/AtleticoAkatemia,FC POHU,1,2,5,25,5
IF Gnistan/3,PK-35/2,4,0,5,25,5
Kasiysi/2,KPPK,1,2,5,25,5
FC Kontu/KoVa,HerTo,3,0,5,25,5
FC KaKe,LPS/reservi,0,8,5,25,5
FC POHU,FC KaKe,7,0,5,25,5
HerTo,IF Gnistan/3,2,3,5,25,5
LPS/reservi,MPS/AtleticoAkatemia,3,0,5,25,5
KPPK,FC Kontu/KoVa,1,4,5,25,5
PK-35/2,Kasiysi/2,7,2,5,25,5
HerTo,FC KaKe,1,1,5,25,5
Kasiysi/2,LPS/reservi,0,8,5,25,5
FC Kontu/KoVa,IF Gnistan/3,3,4,5,25,5
KPPK,MPS/AtleticoAkatemia,0,3,5,25,5
PK-35/2,FC POHU,2,5,5,25,5
MPS/AtleticoAkatemia,HerTo,2,1,5,25,5
FC POHU,KPPK,5,2,5,25,5
LPS/reservi,PK-35/2,6,1,5,25,5
IF Gnistan/3,Kasiysi/2,1,0,5,25,5
FC KaKe,FC Kontu/KoVa,2,5,5,25,5
HerTo,LPS/reservi,2,3,5,25,5
MPS/AtleticoAkatemia,FC KaKe,10,0,5,25,5
FC Kontu/KoVa,LPS/reservi,1,4,5,25,5
HerTo,KPPK,1,0,5,25,5
Kasiysi/2,FC POHU,0,4,5,25,5
IF Gnistan/3,FC KaKe,3,3,5,25,5
PK-35/2,MPS/AtleticoAkatemia,3,6,5,25,5
MPS/AtleticoAkatemia,KPPK,6,2,5,25,5
LPS/reservi,Kasiysi/2,4,1,5,25,5
FC KaKe,HerTo,3,0,5,25,5
IF Gnistan/3,FC Kontu/KoVa,3,3,5,25,5
FC POHU,HerTo,4,1,5,25,5
KPPK,PK-35/2,1,4,5,25,5
LPS/reservi,IF Gnistan/3,1,2,5,25,5
FC KaKe,Kasiysi/2,1,1,5,25,5
MPS/AtleticoAkatemia,FC Kontu/KoVa,1,3,5,25,5
HerTo,PK-35/2,1,5,5,25,5
FC KaKe,KPPK,2,2,5,25,5
LPS/reservi,FC POHU,5,0,5,25,5
IF Gnistan/3,MPS/AtleticoAkatemia,3,1,5,25,5
FC Kontu/KoVa,Kasiysi/2,8,2,5,25,5
FC POHU,IF Gnistan/3,0,1,5,25,5
Kasiysi/2,HerTo,0,0,5,25,5
PK-35/2,FC Kontu/KoVa,2,2,5,25,5
KPPK,LPS/reservi,0,8,5,25,5
FC KaKe,PK-35/2,5,6,5,25,5
Kasiysi/2,MPS/AtleticoAkatemia,3,1,5,25,5
FC Kontu/KoVa,FC POHU,2,3,5,25,5
IF Gnistan/3,KPPK,4,2,5,25,5
LPS/reservi,FC KaKe,2,2,5,25,5
FC POHU,MPS/AtleticoAkatemia,1,1,5,25,5
KPPK,Kasiysi/2,1,2,5,25,5
PK-35/2,IF Gnistan/3,0,3,5,25,5
HerTo,FC Kontu/KoVa,1,4,5,25,5
MPS/AtleticoAkatemia,LPS/reservi,0,4,5,25,5
Kasiysi/2,PK-35/2,4,1,5,25,5
FC Kontu/KoVa,KPPK,5,1,5,25,5
IF Gnistan/3,HerTo,4,1,5,25,5
FC KaKe,FC POHU,2,2,5,25,5
FC POHU,PK-35/2,3,2,5,25,5
FC Kontu/KoVa,FC KaKe,0,1,5,25,5
Kasiysi/2,IF Gnistan/3,0,8,5,25,5
KPPK,FC POHU,0,3,5,25,5
HerTo,MPS/AtleticoAkatemia,1,0,5,25,5
PK-35/2,LPS/reservi,1,1,5,25,5
Afro Foot Club,FC Viikingit/S.C.P,1,2,5,25,6
FC Fortuna,Andalus FC,0,3,5,25,6
Vietfin FC,FC Eagles,6,15,5,25,6
Andalus FC,Valtti/3,1,4,5,25,6
FC Eagles,FC Fortuna,3,2,5,25,6
FC Mango,Vietfin FC,4,2,5,25,6
Andalus FC,Vietfin FC,4,1,5,25,6
FC Fortuna,Wartti/Wild Boars,10,4,5,25,6
Vietfin FC,Valtti/3,4,0,5,25,6
Afro Foot Club,Andalus FC,5,0,5,25,6
FC Viikingit/S.C.P,FC Mango,3,2,5,25,6
Andalus FC,FC Viikingit/S.C.P,1,1,5,25,6
FC Fortuna,Afro Foot Club,2,3,5,25,6
FC Mango,FC Eagles,0,7,5,25,6
Wartti/Wild Boars,FC Viikingit/S.C.P,1,15,5,25,6
FC Viikingit/S.C.P,FC Fortuna,7,1,5,25,6
Afro Foot Club,FC Eagles,2,1,5,25,6
Vietfin FC,Wartti/Wild Boars,2,4,5,25,6
Valtti/3,FC Mango,6,1,5,25,6
Wartti/Wild Boars,FC Mango,3,9,5,25,6
FC Fortuna,Valtti/3,2,4,5,25,6
Afro Foot Club,Vietfin FC,5,2,5,25,6
Vietfin FC,FC Fortuna,0,5,5,25,6
FC Mango,Andalus FC,2,4,5,25,6
FC Viikingit/S.C.P,FC Eagles,4,1,5,25,6
Valtti/3,Afro Foot Club,0,3,5,25,6
FC Mango,FC Fortuna,4,4,5,25,6
FC Eagles,Valtti/3,3,0,5,25,6
Wartti/Wild Boars,Andalus FC,2,5,5,25,6
FC Viikingit/S.C.P,Vietfin FC,5,1,5,25,6
Andalus FC,FC Eagles,1,4,5,25,6
Afro Foot Club,FC Mango,7,2,5,25,6
Valtti/3,FC Viikingit/S.C.P,4,8,5,25,6
Wartti/Wild Boars,Valtti/3,0,3,5,25,6
Andalus FC,FC Fortuna,2,3,5,25,6
FC Eagles,Vietfin FC,6,0,5,25,6
FC Viikingit/S.C.P,Afro Foot Club,1,1,5,25,6
FC Fortuna,FC Eagles,1,5,5,25,6
Vietfin FC,FC Mango,3,4,5,25,6
Afro Foot Club,Wartti/Wild Boars,3,0,5,25,6
Valtti/3,Andalus FC,2,1,5,25,6
FC Mango,FC Viikingit/S.C.P,6,1,5,25,6
Valtti/3,Vietfin FC,3,0,5,25,6
Andalus FC,Afro Foot Club,2,1,5,25,6
Wartti/Wild Boars,FC Eagles,1,7,5,25,6
Afro Foot Club,FC Fortuna,1,1,5,25,6
Vietfin FC,Andalus FC,0,3,5,25,6
FC Eagles,FC Mango,3,3,5,25,6
FC Viikingit/S.C.P,Wartti/Wild Boars,15,0,5,25,6
FC Fortuna,FC Viikingit/S.C.P,2,5,5,25,6
FC Mango,Valtti/3,2,0,5,25,6
Wartti/Wild Boars,Vietfin FC,3,4,5,25,6
FC Eagles,Afro Foot Club,3,1,5,25,6
FC Mango,Wartti/Wild Boars,4,1,5,25,6
FC Viikingit/S.C.P,Andalus FC,5,0,5,25,6
Valtti/3,FC Fortuna,2,5,5,25,6
Vietfin FC,Afro Foot Club,2,5,5,25,6
FC Fortuna,Vietfin FC,5,2,5,25,6
FC Eagles,FC Viikingit/S.C.P,4,7,5,25,6
Afro Foot Club,Valtti/3,4,2,5,25,6
Andalus FC,FC Mango,3,1,5,25,6
FC Fortuna,FC Mango,3,4,5,25,6
Valtti/3,FC Eagles,4,5,5,25,6
Vietfin FC,FC Viikingit/S.C.P,0,11,5,25,6
Andalus FC,Wartti/Wild Boars,4,2,5,25,6
Wartti/Wild Boars,FC Fortuna,5,7,5,25,6
FC Viikingit/S.C.P,Valtti/3,7,2,5,25,6
FC Mango,Afro Foot Club,1,2,5,25,6
FC Eagles,Andalus FC,2,2,5,25,6
RiPS/2,FC Korso/United,1,2,5,25,7
JäPS/United,KoiPS/Dynamo,2,1,5,25,7
KelA/Akatemia,FC Haxi,6,7,5,25,7
Nikinmäki United,I-HK/Sensaatio,3,3,5,25,7
TuPS/Skavaböle,HyPS/2,0,4,5,25,7
I-HK/Sensaatio,JäPS/United,3,2,5,25,7
HyPS/2,Nikinmäki United,3,0,5,25,7
KoiPS/Dynamo,RiPS/2,4,1,5,25,7
TuPS/Skavaböle,KelA/Akatemia,2,1,5,25,7
FC Korso/United,FC Haxi,4,14,5,25,7
KelA/Akatemia,FC Korso/United,2,2,5,25,7
RiPS/2,I-HK/Sensaatio,3,2,5,25,7
FC Haxi,Nikinmäki United,12,0,5,25,7
HyPS/2,KoiPS/Dynamo,4,0,5,25,7
TuPS/Skavaböle,JäPS/United,3,2,5,25,7
JäPS/United,FC Haxi,2,2,5,25,7
I-HK/Sensaatio,TuPS/Skavaböle,1,5,5,25,7
HyPS/2,KelA/Akatemia,1,0,5,25,7
KoiPS/Dynamo,FC Korso/United,1,3,5,25,7
Nikinmäki United,RiPS/2,3,1,5,25,7
KelA/Akatemia,JäPS/United,1,1,5,25,7
RiPS/2,HyPS/2,12,2,5,25,7
FC Haxi,I-HK/Sensaatio,5,1,5,25,7
TuPS/Skavaböle,KoiPS/Dynamo,2,0,5,25,7
FC Korso/United,Nikinmäki United,4,2,5,25,7
FC Haxi,KelA/Akatemia,3,2,5,25,7
RiPS/2,TuPS/Skavaböle,1,0,5,25,7
I-HK/Sensaatio,FC Korso/United,4,3,5,25,7
KoiPS/Dynamo,KelA/Akatemia,0,0,5,25,7
HyPS/2,FC Haxi,4,6,5,25,7
Nikinmäki United,JäPS/United,6,1,5,25,7
JäPS/United,RiPS/2,0,4,5,25,7
I-HK/Sensaatio,KelA/Akatemia,2,4,5,25,7
FC Haxi,KoiPS/Dynamo,10,0,5,25,7
TuPS/Skavaböle,Nikinmäki United,1,0,5,25,7
FC Korso/United,HyPS/2,5,3,5,25,7
KelA/Akatemia,Nikinmäki United,3,0,5,25,7
FC Haxi,RiPS/2,3,1,5,25,7
KoiPS/Dynamo,I-HK/Sensaatio,2,1,5,25,7
FC Korso/United,TuPS/Skavaböle,2,3,5,25,7
HyPS/2,JäPS/United,3,0,5,25,7
JäPS/United,FC Korso/United,2,4,5,25,7
RiPS/2,KelA/Akatemia,1,4,5,25,7
