team_home,team_away,goals_home,goals_away,season,league_division,group
AC StaSi,HIFK/3,1,3,22,6,4
FC Spede,FC POHU/Atl Koffari,0,2,22,6,4
Kullervo/Überkleber,HerTo/3,1,3,22,6,4
HJK/Töölön Ihme,Kurvin Vauhti/Partiz,3,4,22,6,4
Strikers/Bertil,Kullervo/Überkleber,1,1,22,6,4
HerTo/3,Millbrook FC,0,2,22,6,4
HeMan,HJK/Töölön Ihme,3,0,22,6,4
HPS/Jägers,AC StaSi,1,5,22,6,4
Kurvin Vauhti/Partiz,Geishan Pallo,3,3,22,6,4
ToTe/Taiskin Tykit,Valtti/R.O.U.,3,0,22,6,4
FC POHU/Atl Koffari,Ruila,2,1,22,6,4
HIFK/3,FC Spede,2,0,22,6,4
Kurvin Vauhti/Partiz,FC Spede,1,0,22,6,4
Valtti/R.O.U.,HJK/Töölön Ihme,1,2,22,6,4
FC Spede,HPS/Jägers,0,9,22,6,4
ToTe/Taiskin Tykit,HerTo/3,3,0,22,6,4
AC StaSi,Kurvin Vauhti/Partiz,0,6,22,6,4
Millbrook FC,Strikers/Bertil,7,0,22,6,4
Kullervo/Überkleber,FC POHU/Atl Koffari,3,2,22,6,4
Geishan Pallo,HeMan,2,4,22,6,4
Ruila,HIFK/3,1,5,22,6,4
HerTo/3,Valtti/R.O.U.,9,0,22,6,4
AC StaSi,HJK/Töölön Ihme,2,3,22,6,4
HPS/Jägers,Ruila,5,2,22,6,4
Strikers/Bertil,ToTe/Taiskin Tykit,1,3,22,6,4
HJK/Töölön Ihme,Geishan Pallo,2,5,22,6,4
HeMan,AC StaSi,1,2,22,6,4
HIFK/3,Kullervo/Überkleber,5,0,22,6,4
Valtti/R.O.U.,Geishan Pallo,1,3,22,6,4
FC POHU/Atl Koffari,Millbrook FC,3,1,22,6,4
Ruila,Kurvin Vauhti/Partiz,3,4,22,6,4
ToTe/Taiskin Tykit,FC POHU/Atl Koffari,0,2,22,6,4
FC Spede,HeMan,2,4,22,6,4
HerTo/3,Strikers/Bertil,1,1,22,6,4
Kullervo/Überkleber,HPS/Jägers,2,3,22,6,4
Millbrook FC,HIFK/3,0,1,22,6,4
Geishan Pallo,AC StaSi,0,6,22,6,4
HeMan,Ruila,3,2,22,6,4
Strikers/Bertil,Valtti/R.O.U.,2,2,22,6,4
HJK/Töölön Ihme,FC Spede,2,2,22,6,4
FC POHU/Atl Koffari,HerTo/3,2,4,22,6,4
Kurvin Vauhti/Partiz,Kullervo/Überkleber,5,1,22,6,4
HIFK/3,ToTe/Taiskin Tykit,0,0,22,6,4
HPS/Jägers,Millbrook FC,1,3,22,6,4
Kurvin Vauhti/Partiz,ToTe/Taiskin Tykit,1,1,22,6,4
Valtti/R.O.U.,AC StaSi,2,1,22,6,4
Ruila,HJK/Töölön Ihme,2,1,22,6,4
Kullervo/Überkleber,HeMan,0,3,22,6,4
ToTe/Taiskin Tykit,HPS/Jägers,1,1,22,6,4
Millbrook FC,Kurvin Vauhti/Partiz,4,2,22,6,4
FC Spede,Geishan Pallo,1,4,22,6,4
HerTo/3,HIFK/3,0,7,22,6,4
HJK/Töölön Ihme,Kullervo/Überkleber,3,2,22,6,4
HeMan,Millbrook FC,3,1,22,6,4
FC POHU/Atl Koffari,Valtti/R.O.U.,3,2,22,6,4
HPS/Jägers,HerTo/3,3,2,22,6,4
AC StaSi,FC Spede,2,2,22,6,4
HIFK/3,Strikers/Bertil,1,0,22,6,4
FC Germania/Akademie,Ponnistus/Kermaa,2,1,22,6,5
ToTe/Tapio,Wartti/Wild Boars,0,2,22,6,5
FC Inter Vuosaari,FC Babylon/2,2,1,22,6,5
Chicken Wings/2,FC Fortuna/Itä,0,4,22,6,5
Ponnistus/Kermaa,Chicken Wings/2,3,3,22,6,5
Wartti/Wild Boars,FC Inter Vuosaari,0,3,22,6,5
FC Babylon/2,FC Germania/Akademie,2,0,22,6,5
FC Fortuna/Itä,FC Kontu/Kupa,6,1,22,6,5
Chicken Wings/2,ToTe/Tapio,0,4,22,6,5
FC Germania/Akademie,Wartti/Wild Boars,3,5,22,6,5
Ponnistus/Kermaa,FC Fortuna/Itä,2,1,22,6,5
FC Kontu/Kupa,FC Inter Vuosaari,1,4,22,6,5
Chicken Wings/2,FC Germania/Akademie,5,0,22,6,5
FC Babylon/2,Ponnistus/Kermaa,1,0,22,6,5
Wartti/Wild Boars,FC Kontu/Kupa,2,3,22,6,5
ToTe/Tapio,FC Germania/Akademie,3,1,22,6,5
FC Inter Vuosaari,Chicken Wings/2,3,1,22,6,5
Chicken Wings/2,Wartti/Wild Boars,1,3,22,6,5
FC Kontu/Kupa,FC Babylon/2,2,0,22,6,5
Ponnistus/Kermaa,ToTe/Tapio,1,5,22,6,5
FC Inter Vuosaari,FC Fortuna/Itä,3,1,22,6,5
ToTe/Tapio,FC Inter Vuosaari,1,3,22,6,5
Wartti/Wild Boars,Ponnistus/Kermaa,0,0,22,6,5
FC Babylon/2,FC Fortuna/Itä,1,2,22,6,5
FC Germania/Akademie,FC Kontu/Kupa,0,3,22,6,5
Chicken Wings/2,FC Babylon/2,1,4,22,6,5
FC Kontu/Kupa,ToTe/Tapio,0,3,22,6,5
FC Inter Vuosaari,FC Germania/Akademie,2,0,22,6,5
FC Fortuna/Itä,Wartti/Wild Boars,2,4,22,6,5
FC Babylon/2,Wartti/Wild Boars,1,2,22,6,5
FC Fortuna/Itä,ToTe/Tapio,1,1,22,6,5
Ponnistus/Kermaa,FC Kontu/Kupa,3,2,22,6,5
FC Inter Vuosaari,Ponnistus/Kermaa,2,1,22,6,5
FC Germania/Akademie,FC Fortuna/Itä,1,3,22,6,5
ToTe/Tapio,FC Babylon/2,2,2,22,6,5
FC Kontu/Kupa,Chicken Wings/2,1,1,22,6,5
Ponnistus/Kermaa,FC Inter Vuosaari,1,4,22,6,5
FC Fortuna/Itä,FC Germania/Akademie,3,3,22,6,5
Chicken Wings/2,FC Kontu/Kupa,0,1,22,6,5
FC Babylon/2,FC Inter Vuosaari,0,1,22,6,5
Ponnistus/Kermaa,FC Germania/Akademie,3,1,22,6,5
FC Fortuna/Itä,Chicken Wings/2,2,2,22,6,5
Wartti/Wild Boars,ToTe/Tapio,0,2,22,6,5
FC Babylon/2,ToTe/Tapio,1,1,22,6,5
FC Fortuna/Itä,Ponnistus/Kermaa,0,2,22,6,5
FC Inter Vuosaari,Wartti/Wild Boars,6,2,22,6,5
FC Germania/Akademie,FC Babylon/2,1,0,22,6,5
Chicken Wings/2,Ponnistus/Kermaa,2,1,22,6,5
FC Kontu/Kupa,FC Fortuna/Itä,1,1,22,6,5
FC Inter Vuosaari,FC Kontu/Kupa,3,1,22,6,5
Wartti/Wild Boars,FC Germania/Akademie,1,1,22,6,5
ToTe/Tapio,Chicken Wings/2,2,1,22,6,5
FC Germania/Akademie,ToTe/Tapio,0,10,22,6,5
FC Kontu/Kupa,Wartti/Wild Boars,5,1,22,6,5
Chicken Wings/2,FC Inter Vuosaari,1,1,22,6,5
Ponnistus/Kermaa,FC Babylon/2,3,0,22,6,5
ToTe/Tapio,Ponnistus/Kermaa,4,0,22,6,5
FC Babylon/2,FC Kontu/Kupa,0,0,22,6,5
Wartti/Wild Boars,Chicken Wings/2,0,0,22,6,5
FC Fortuna/Itä,FC Inter Vuosaari,1,1,22,6,5
FC Inter Vuosaari,ToTe/Tapio,2,2,22,6,5
FC Fortuna/Itä,FC Babylon/2,1,0,22,6,5
FC Kontu/Kupa,FC Germania/Akademie,4,0,22,6,5
Ponnistus/Kermaa,Wartti/Wild Boars,0,4,22,6,5
Wartti/Wild Boars,FC Fortuna/Itä,2,1,22,6,5
ToTe/Tapio,FC Kontu/Kupa,0,3,22,6,5
FC Babylon/2,Chicken Wings/2,3,2,22,6,5
FC Germania/Akademie,FC Inter Vuosaari,1,4,22,6,5
FC Germania/Akademie,Chicken Wings/2,3,3,22,6,5
ToTe/Tapio,FC Fortuna/Itä,8,1,22,6,5
FC Kontu/Kupa,Ponnistus/Kermaa,1,0,22,6,5
Wartti/Wild Boars,FC Babylon/2,3,4,22,6,5
KPPK,Afro Foot Club,0,5,22,6,6
HePuLi,Afro Foot Club,3,6,22,6,6
FC Degis,AFC EMU,4,1,22,6,6
Veijarit,FC Pehmeet ja Märät,1,5,22,6,6
HDS/Express,KPPK,2,2,22,6,6
PETO/2,HePuLi,1,2,22,6,6
AFC EMU,KPPK,2,0,22,6,6
KPPK,HePuLi,3,2,22,6,6
AFC EMU,Veijarit,2,2,22,6,6
Afro Foot Club,PETO/2,4,0,22,6,6
HePuLi,HDS/Express,4,2,22,6,6
HDS/Express,Veijarit,7,1,22,6,6
HePuLi,FC Degis,0,1,22,6,6
PETO/2,Veijarit,3,1,22,6,6
HDS/Express,AFC EMU,4,1,22,6,6
AFC EMU,PETO/2,0,6,22,6,6
FC Degis,HDS/Express,3,3,22,6,6
HDS/Express,Afro Foot Club,2,5,22,6,6
Veijarit,HePuLi,2,4,22,6,6
HePuLi,AFC EMU,2,1,22,6,6
PETO/2,FC Pehmeet ja Märät,0,7,22,6,6
Veijarit,Afro Foot Club,1,4,22,6,6
KPPK,FC Degis,1,4,22,6,6
FC Degis,Veijarit,2,3,22,6,6
FC Pehmeet ja Märät,Afro Foot Club,2,0,22,6,6
HDS/Express,PETO/2,1,0,22,6,6
FC Pehmeet ja Märät,HDS/Express,6,0,22,6,6
Afro Foot Club,AFC EMU,7,2,22,6,6
PETO/2,FC Degis,2,4,22,6,6
HePuLi,FC Pehmeet ja Märät,0,2,22,6,6
Veijarit,HDS/Express,0,8,22,6,6
Afro Foot Club,FC Degis,6,0,22,6,6
FC Pehmeet ja Märät,AFC EMU,2,0,22,6,6
KPPK,PETO/2,2,1,22,6,6
Veijarit,KPPK,1,2,22,6,6
FC Degis,FC Pehmeet ja Märät,1,3,22,6,6
AFC EMU,FC Pehmeet ja Märät,1,2,22,6,6
HDS/Express,HePuLi,1,1,22,6,6
PETO/2,KPPK,2,1,22,6,6
FC Degis,Afro Foot Club,1,5,22,6,6
FC Pehmeet ja Märät,Veijarit,4,2,22,6,6
KPPK,HDS/Express,2,2,22,6,6
AFC EMU,FC Degis,1,2,22,6,6
Afro Foot Club,HePuLi,4,0,22,6,6
FC Pehmeet ja Märät,FC Degis,0,1,22,6,6
FC Pehmeet ja Märät,HePuLi,1,1,22,6,6
PETO/2,Afro Foot Club,1,3,22,6,6
HDS/Express,FC Pehmeet ja Märät,2,3,22,6,6
HePuLi,KPPK,2,2,22,6,6
Veijarit,AFC EMU,2,1,22,6,6
Afro Foot Club,KPPK,3,0,22,6,6
Veijarit,PETO/2,1,2,22,6,6
AFC EMU,HDS/Express,0,5,22,6,6
FC Degis,HePuLi,1,1,22,6,6
HePuLi,Veijarit,0,5,22,6,6
HDS/Express,FC Degis,4,4,22,6,6
PETO/2,AFC EMU,0,1,22,6,6
KPPK,FC Pehmeet ja Märät,0,4,22,6,6
Afro Foot Club,Veijarit,0,0,22,6,6
FC Pehmeet ja Märät,PETO/2,1,0,22,6,6
FC Degis,KPPK,0,1,22,6,6
AFC EMU,HePuLi,0,0,22,6,6
PETO/2,HDS/Express,1,3,22,6,6
KPPK,AFC EMU,0,0,22,6,6
Veijarit,FC Degis,1,1,22,6,6
Afro Foot Club,FC Pehmeet ja Märät,2,1,22,6,6
AFC EMU,Afro Foot Club,1,6,22,6,6
FC Degis,PETO/2,2,0,22,6,6
KPPK,Veijarit,0,3,22,6,6
HePuLi,PETO/2,1,1,22,6,6
Afro Foot Club,HDS/Express,5,1,22,6,6
PPS/Diablos Rojos,FC Pikkupussit,5,2,22,6,7
KeiKa,PK-35/Legendat,3,3,22,6,7
FC Dons,PPS/Diablos Rojos,4,0,22,6,7
FC Korso/U2,FC Parseh,0,8,22,6,7
Nikinmäki United,FC Vantaa,9,1,22,6,7
PK-35/Legendat,Nikinmäki United,0,7,22,6,7
FC Vantaa,FC Dons,0,2,22,6,7
FC Dons,FC Pikkupussit,3,0,22,6,7
FC Parseh,KeiKa,3,0,22,6,7
KoPa,FC Korso/U2,1,2,22,6,7
FC Pikkupussit,FC Vantaa,3,1,22,6,7
KeiKa,FC Dons,0,3,22,6,7
KoPa,FC Parseh,0,7,22,6,7
PK-35/Legendat,PPS/Diablos Rojos,1,2,22,6,7
FC Korso/U2,Nikinmäki United,2,4,22,6,7
FC Vantaa,KeiKa,6,1,22,6,7
FC Dons,FC Korso/U2,2,1,22,6,7
FC Parseh,PK-35/Legendat,3,0,22,6,7
Nikinmäki United,FC Pikkupussit,1,2,22,6,7
PPS/Diablos Rojos,KoPa,2,1,22,6,7
FC Pikkupussit,PK-35/Legendat,3,0,22,6,7
KoPa,Nikinmäki United,0,10,22,6,7
FC Korso/U2,FC Vantaa,3,1,22,6,7
FC Dons,FC Parseh,0,2,22,6,7
FC Vantaa,FC Pikkupussit,6,3,22,6,7
FC Pikkupussit,KeiKa,1,0,22,6,7
FC Parseh,PPS/Diablos Rojos,0,0,22,6,7
FC Vantaa,KoPa,0,2,22,6,7
Nikinmäki United,FC Dons,1,1,22,6,7
PK-35/Legendat,FC Korso/U2,3,3,22,6,7
KeiKa,Nikinmäki United,2,6,22,6,7
FC Parseh,FC Vantaa,5,1,22,6,7
KoPa,PK-35/Legendat,3,2,22,6,7
FC Korso/U2,PPS/Diablos Rojos,2,2,22,6,7
FC Parseh,Nikinmäki United,3,1,22,6,7
PK-35/Legendat,FC Dons,2,5,22,6,7
KoPa,KeiKa,2,0,22,6,7
FC Korso/U2,FC Pikkupussit,3,3,22,6,7
PPS/Diablos Rojos,FC Vantaa,3,0,22,6,7
FC Pikkupussit,FC Parseh,2,2,22,6,7
FC Dons,KoPa,2,0,22,6,7
KeiKa,FC Korso/U2,0,3,22,6,7
FC Vantaa,PK-35/Legendat,2,1,22,6,7
Nikinmäki United,PPS/Diablos Rojos,2,5,22,6,7
FC Vantaa,Nikinmäki United,0,2,22,6,7
PK-35/Legendat,KeiKa,4,0,22,6,7
FC Parseh,FC Korso/U2,1,1,22,6,7
KoPa,FC Pikkupussit,1,2,22,6,7
PPS/Diablos Rojos,FC Dons,1,2,22,6,7
FC Vantaa,FC Korso/U2,3,2,22,6,7
FC Parseh,KoPa,5,0,22,6,7
FC Dons,Nikinmäki United,4,1,22,6,7
FC Dons,FC Vantaa,1,0,22,6,7
FC Pikkupussit,PPS/Diablos Rojos,1,4,22,6,7
KeiKa,FC Parseh,1,3,22,6,7
FC Korso/U2,KoPa,1,2,22,6,7
Nikinmäki United,PK-35/Legendat,5,1,22,6,7
FC Dons,KeiKa,6,0,22,6,7
Nikinmäki United,FC Korso/U2,2,0,22,6,7
PPS/Diablos Rojos,PK-35/Legendat,4,1,22,6,7
PK-35/Legendat,FC Parseh,0,5,22,6,7
KeiKa,FC Vantaa,2,2,22,6,7
FC Pikkupussit,Nikinmäki United,1,3,22,6,7
KoPa,PPS/Diablos Rojos,1,1,22,6,7
FC Korso/U2,FC Dons,0,2,22,6,7
FC Parseh,FC Dons,1,0,22,6,7
PK-35/Legendat,FC Pikkupussit,4,0,22,6,7
Nikinmäki United,KoPa,2,2,22,6,7
PPS/Diablos Rojos,KeiKa,4,3,22,6,7
FC Vantaa,PPS/Diablos Rojos,3,0,22,6,7
KeiKa,FC Pikkupussit,1,1,22,6,7
KoPa,FC Vantaa,0,2,22,6,7
FC Korso/U2,PK-35/Legendat,1,3,22,6,7
PPS/Diablos Rojos,FC Parseh,1,3,22,6,7
FC Vantaa,FC Parseh,0,3,22,6,7
PK-35/Legendat,KoPa,1,1,22,6,7
FC Pikkupussit,FC Dons,0,1,22,6,7
Nikinmäki United,KeiKa,1,0,22,6,7
PPS/Diablos Rojos,FC Korso/U2,3,3,22,6,7
FC Dons,PK-35/Legendat,7,0,22,6,7
FC Pikkupussit,FC Korso/U2,0,6,22,6,7
KeiKa,KoPa,1,2,22,6,7
Nikinmäki United,FC Parseh,1,1,22,6,7
FC Parseh,FC Pikkupussit,3,0,22,6,7
KoPa,FC Dons,0,3,22,6,7
FC Korso/U2,KeiKa,0,1,22,6,7
PPS/Diablos Rojos,Nikinmäki United,0,2,22,6,7
PK-35/Legendat,FC Vantaa,0,2,22,6,7
HausPa,KOPSE/VI,0,4,22,6,8
AskU,HAlku/FC,3,0,22,6,8
FC Tuusula,Pelikaani,2,5,22,6,8
HAlku/FC,HausPa,2,0,22,6,8
ToBK,AC JazzPa,2,1,22,6,8
Pelikaani,AskU,0,3,22,6,8
HausPa,AC JazzPa,2,1,22,6,8
FC Tuusula,ToBK,2,4,22,6,8
Pelikaani,HAlku/FC,1,4,22,6,8
KOPSE/VI,HAlku/FC,1,1,22,6,8
ToBK,HausPa,5,0,22,6,8
AC JazzPa,AskU,0,7,22,6,8
AskU,ToBK,1,1,22,6,8
FC Tuusula,KOPSE/VI,2,3,22,6,8
AC JazzPa,HAlku/FC,1,2,22,6,8
KOPSE/VI,AskU,2,3,22,6,8
FC Tuusula,HausPa,0,3,22,6,8
ToBK,Pelikaani,5,0,22,6,8
HAlku/FC,ToBK,0,4,22,6,8
Pelikaani,KOPSE/VI,1,3,22,6,8
AC JazzPa,FC Tuusula,3,1,22,6,8
AskU,FC Tuusula,1,0,22,6,8
HausPa,Pelikaani,2,1,22,6,8
ToBK,KOPSE/VI,5,0,22,6,8
HausPa,AskU,0,3,22,6,8
AC JazzPa,Pelikaani,0,0,22,6,8
FC Tuusula,HAlku/FC,1,6,22,6,8
KOPSE/VI,HausPa,2,4,22,6,8
Pelikaani,FC Tuusula,2,1,22,6,8
HAlku/FC,AskU,0,1,22,6,8
HAlku/FC,KOPSE/VI,3,1,22,6,8
AskU,Pelikaani,10,0,22,6,8
HausPa,HAlku/FC,0,2,22,6,8
AC JazzPa,ToBK,0,3,22,6,8
ToBK,FC Tuusula,6,0,22,6,8
HAlku/FC,Pelikaani,0,1,22,6,8
AC JazzPa,HausPa,2,2,22,6,8
AskU,AC JazzPa,3,1,22,6,8
HausPa,ToBK,1,5,22,6,8
KOPSE/VI,FC Tuusula,7,0,22,6,8
HAlku/FC,AC JazzPa,2,4,22,6,8
ToBK,AskU,0,0,22,6,8
AskU,KOPSE/VI,3,0,22,6,8
HausPa,FC Tuusula,4,0,22,6,8
Pelikaani,ToBK,0,5,22,6,8
KOPSE/VI,Pelikaani,1,3,22,6,8
ToBK,HAlku/FC,2,0,22,6,8
FC Tuusula,AC JazzPa,1,0,22,6,8
Pelikaani,HausPa,2,2,22,6,8
AC JazzPa,KOPSE/VI,2,3,22,6,8
FC Tuusula,AskU,0,5,22,6,8
KOPSE/VI,ToBK,1,1,22,6,8
AskU,HausPa,8,1,22,6,8
HAlku/FC,FC Tuusula,1,2,22,6,8
Pelikaani,AC JazzPa,3,1,22,6,8
KarPo,FC Etapo,0,2,22,6,9
JaVo,HiHi,5,1,22,6,9
FC Etapo,KyPa,2,4,22,6,9
FC Loviisa/2,MyPa/FC,4,0,22,6,9
HP-47,PoPo,2,1,22,6,9
Naseva,Purha/2,5,4,22,6,9
HaPK Edustus/2,KarPo,4,0,22,6,9
JaVo,FC Etapo,1,3,22,6,9
HiHi,FC Villisiat,0,2,22,6,9
Purha/2,FC Loviisa/2,3,4,22,6,9
KyPa,HaPK Edustus/2,0,1,22,6,9
PoPo,Naseva,2,2,22,6,9
MyPa/FC,Jäntevä/Ukot,0,6,22,6,9
KarPo,HP-47,1,3,22,6,9
Iitin Pallo-68,MyPa/FC,4,0,22,6,9
FC Etapo,HiHi,1,1,22,6,9
HaPK Edustus/2,JaVo,4,2,22,6,9
Jäntevä/Ukot,Purha/2,6,0,22,6,9
HP-47,KyPa,2,1,22,6,9
FC Loviisa/2,PoPo,2,2,22,6,9
Naseva,KarPo,3,0,22,6,9
KyPa,Naseva,5,0,22,6,9
JaVo,HP-47,4,3,22,6,9
FC Etapo,HaPK Edustus/2,4,1,22,6,9
PoPo,Jäntevä/Ukot,2,1,22,6,9
Purha/2,Iitin Pallo-68,1,5,22,6,9
MyPa/FC,FC Villisiat,1,3,22,6,9
KarPo,FC Loviisa/2,0,5,22,6,9
Iitin Pallo-68,PoPo,0,0,22,6,9
FC Villisiat,Purha/2,1,1,22,6,9
HaPK Edustus/2,HiHi,2,2,22,6,9
Jäntevä/Ukot,KarPo,1,0,22,6,9
HP-47,FC Etapo,3,1,22,6,9
Naseva,JaVo,1,0,22,6,9
FC Loviisa/2,KyPa,1,2,22,6,9
JaVo,FC Loviisa/2,3,2,22,6,9
HiHi,MyPa/FC,8,0,22,6,9
HaPK Edustus/2,HP-47,0,6,22,6,9
FC Etapo,Naseva,1,0,22,6,9
KarPo,Iitin Pallo-68,1,0,22,6,9
KyPa,Jäntevä/Ukot,0,1,22,6,9
PoPo,FC Villisiat,3,2,22,6,9
Iitin Pallo-68,KyPa,2,2,22,6,9
FC Villisiat,KarPo,2,1,22,6,9
FC Loviisa/2,FC Etapo,1,1,22,6,9
Jäntevä/Ukot,JaVo,8,0,22,6,9
HP-47,HiHi,2,4,22,6,9
Naseva,HaPK Edustus/2,1,4,22,6,9
MyPa/FC,Purha/2,2,5,22,6,9
JaVo,Iitin Pallo-68,0,4,22,6,9
HiHi,Purha/2,3,5,22,6,9
HaPK Edustus/2,FC Loviisa/2,0,1,22,6,9
FC Etapo,Jäntevä/Ukot,0,7,22,6,9
HP-47,Naseva,2,1,22,6,9
KyPa,FC Villisiat,4,0,22,6,9
PoPo,MyPa/FC,3,2,22,6,9
Purha/2,HP-47,4,5,22,6,9
Iitin Pallo-68,FC Villisiat,3,3,22,6,9
Purha/2,PoPo,1,2,22,6,9
Iitin Pallo-68,FC Etapo,1,1,22,6,9
FC Villisiat,JaVo,2,2,22,6,9
FC Loviisa/2,HP-47,4,0,22,6,9
Jäntevä/Ukot,HaPK Edustus/2,5,3,22,6,9
Naseva,HiHi,0,4,22,6,9
MyPa/FC,KarPo,2,3,22,6,9
HaPK Edustus/2,Iitin Pallo-68,2,4,22,6,9
HiHi,PoPo,4,3,22,6,9
FC Etapo,FC Villisiat,3,2,22,6,9
HP-47,Jäntevä/Ukot,1,2,22,6,9
KarPo,Purha/2,2,3,22,6,9
KyPa,MyPa/FC,6,0,22,6,9
Naseva,FC Loviisa/2,1,2,22,6,9
Iitin Pallo-68,HP-47,2,0,22,6,9
FC Villisiat,HaPK Edustus/2,1,3,22,6,9
Purha/2,KyPa,1,5,22,6,9
Jäntevä/Ukot,Naseva,3,2,22,6,9
FC Loviisa/2,HiHi,5,1,22,6,9
PoPo,KarPo,3,2,22,6,9
MyPa/FC,JaVo,2,1,22,6,9
JaVo,Purha/2,1,1,22,6,9
FC Loviisa/2,Jäntevä/Ukot,0,3,22,6,9
HiHi,KarPo,2,3,22,6,9
FC Etapo,MyPa/FC,1,4,22,6,9
HP-47,FC Villisiat,2,2,22,6,9
KyPa,PoPo,0,2,22,6,9
Naseva,Iitin Pallo-68,0,1,22,6,9
FC Villisiat,Naseva,0,1,22,6,9
Jäntevä/Ukot,HiHi,4,1,22,6,9
Iitin Pallo-68,FC Loviisa/2,3,2,22,6,9
Purha/2,FC Etapo,1,3,22,6,9
MyPa/FC,HaPK Edustus/2,0,5,22,6,9
PoPo,JaVo,5,1,22,6,9
KarPo,KyPa,1,3,22,6,9
JaVo,KarPo,2,2,22,6,9
HiHi,KyPa,1,5,22,6,9
FC Loviisa/2,FC Villisiat,1,1,22,6,9
FC Etapo,PoPo,0,1,22,6,9
HaPK Edustus/2,Purha/2,3,0,22,6,9
Jäntevä/Ukot,Iitin Pallo-68,5,1,22,6,9
HP-47,MyPa/FC,4,1,22,6,9
Iitin Pallo-68,HiHi,1,1,22,6,9
FC Villisiat,Jäntevä/Ukot,1,2,22,6,9
PoPo,HaPK Edustus/2,2,2,22,6,9
MyPa/FC,Naseva,0,4,22,6,9
KyPa,JaVo,1,1,22,6,9
LoPa/2,KFFK,1,0,21,6,1
FC Kirkkonummi/3,KJS,3,3,21,6,1
ViTa,BK-46/Hobby,6,1,21,6,1
FC WILD/2,FC RaHi,1,1,21,6,1
KFFK,FC RaHi,4,1,21,6,1
BK-46/Hobby,LoPa/2,1,1,21,6,1
ViTa,FC Kirkkonummi/3,4,0,21,6,1
FC WILD/2,KJS,7,2,21,6,1
LoPa/2,ViTa,2,2,21,6,1
FC Kirkkonummi/3,FC WILD/2,3,3,21,6,1
BK-46/Hobby,FC RaHi,2,3,21,6,1
KJS,KFFK,0,3,21,6,1
LoPa/2,FC Kirkkonummi/3,1,1,21,6,1
KFFK,FC WILD/2,1,4,21,6,1
BK-46/Hobby,KJS,0,2,21,6,1
ViTa,FC RaHi,3,0,21,6,1
FC WILD/2,FC Kirkkonummi/3,4,2,21,6,1
FC RaHi,FC Kirkkonummi/3,0,3,21,6,1
KFFK,BK-46/Hobby,2,2,21,6,1
KJS,LoPa/2,5,2,21,6,1
FC WILD/2,ViTa,3,1,21,6,1
LoPa/2,FC WILD/2,1,6,21,6,1
ViTa,KFFK,1,2,21,6,1
FC RaHi,KJS,3,2,21,6,1
BK-46/Hobby,ViTa,1,2,21,6,1
KFFK,LoPa/2,7,1,21,6,1
FC RaHi,FC WILD/2,1,1,21,6,1
KJS,FC Kirkkonummi/3,4,0,21,6,1
FC Kirkkonummi/3,ViTa,1,3,21,6,1
FC RaHi,KFFK,3,1,21,6,1
KJS,FC WILD/2,2,4,21,6,1
ViTa,LoPa/2,11,0,21,6,1
FC RaHi,BK-46/Hobby,1,4,21,6,1
KFFK,KJS,2,1,21,6,1
FC Kirkkonummi/3,KFFK,1,1,21,6,1
BK-46/Hobby,FC Kirkkonummi/3,3,5,21,6,1
KFFK,ViTa,1,3,21,6,1
FC WILD/2,LoPa/2,5,0,21,6,1
KJS,FC RaHi,2,1,21,6,1
FC RaHi,LoPa/2,3,0,21,6,1
KJS,ViTa,1,0,21,6,1
FC WILD/2,BK-46/Hobby,8,0,21,6,1
FC Kirkkonummi/3,LoPa/2,2,2,21,6,1
FC RaHi,ViTa,3,2,21,6,1
FC WILD/2,KFFK,3,0,21,6,1
KJS,BK-46/Hobby,3,0,21,6,1
LoPa/2,FC RaHi,0,4,21,6,1
BK-46/Hobby,FC WILD/2,1,6,21,6,1
ViTa,KJS,0,3,21,6,1
KFFK,FC Kirkkonummi/3,1,1,21,6,1
FC Kirkkonummi/3,FC RaHi,1,1,21,6,1
LoPa/2,KJS,1,2,21,6,1
BK-46/Hobby,KFFK,0,1,21,6,1
ViTa,FC WILD/2,0,6,21,6,1
EsPa/United,Kilo IF/3,6,1,21,6,2
FC Samba,LJS/Reservi,1,2,21,6,2
Tikka/2,Länsiväylän Dynamo,9,1,21,6,2
FC Honka/A3,HooGee/Hodari,6,0,21,6,2
GrIFK/2,Kasiysi/Rovers,3,0,21,6,2
EsPa/United,FC Honka/A3,1,0,21,6,2
HooGee/Hodari,LJS/Reservi,0,3,21,6,2
Länsiväylän Dynamo,FC Samba,0,4,21,6,2
Kasiysi/Rovers,Tikka/2,1,8,21,6,2
Kilo IF/3,GrIFK/2,1,6,21,6,2
FC Samba,EsPa/United,1,5,21,6,2
Tikka/2,Kilo IF/3,1,0,21,6,2
FC Honka/A3,Länsiväylän Dynamo,1,2,21,6,2
GrIFK/2,HooGee/Hodari,1,2,21,6,2
LJS/Reservi,Kasiysi/Rovers,2,0,21,6,2
Kilo IF/3,FC Samba,3,3,21,6,2
FC Honka/A3,Tikka/2,0,1,21,6,2
HooGee/Hodari,Kasiysi/Rovers,3,1,21,6,2
GrIFK/2,EsPa/United,1,1,21,6,2
LJS/Reservi,Länsiväylän Dynamo,5,0,21,6,2
LJS/Reservi,Kilo IF/3,0,0,21,6,2
Tikka/2,HooGee/Hodari,1,2,21,6,2
FC Samba,GrIFK/2,2,3,21,6,2
